Country,Density,Mortality,GDP,Unemployment,emissions,continent,wage,population
Malta,1620.425,5.1,34218.21474,3.39,1520,Europe,5.07,441750
Marshall Islands,233.6111111,24.8,6172.145065,9.82,180,..,2,59259
Mauritania,4.477514311,32.2,2166.044797,..,3800,Africa,0.53,4669775
Mauritius,634.1181773,15.3,9062.722476,7.72,4180,Africa,0.38,1272140
Mexico,65.17921654,11.4,10045.67637,4.09,471810,North America,0.49,129166028
"Micronesia, Fed. Sts.",161.6157143,21,3571.336769,..,170,Asia,0.27,..
Moldova,90.78345541,12.2,5235.636044,0.79,8160,Europe,0.31,4032294
Monaco,17603.64683,1,234317.0848,..,..,Europe,11.72,39290
Mongolia,2.149449088,12.7,4566.140131,7.75,19470,Asia,0.65,3287242
Montenegro,46.03799257,1.9,9465.966408,16.54,2230,Europe,1.23,628080
Morocco,83.0754739,15.4,3795.386963,12.28,65930,Africa,1.6,36985624
Mozambique,40.79080343,51,491.8390749,..,6020,Africa,0.27,31398811
Myanmar,82.42769547,33.7,1210.540688,..,31400,..,0.39,54473253
Namibia,3.073219643,29.4,4919.188955,..,4330,Africa,0,2548663
Nauru,625.55,23.2,11632.69149,5.06,70,..,0,10836
Nepal,209.5220719,22.8,1229.394205,..,11030,Asia,0.36,29225196
Netherlands,520.7319275,3.5,57708.11121,4.21,155910,Europe,10.29,17141544
New Caledonia,15.02516411,..,36668.42535,..,..,Oceania,2.15,285972
New Zealand,19.41209981,3.9,49996.42067,3.78,32920,Oceania,11.49,4829021
Nicaragua,56.92654147,11.4,2064.925116,..,5400,North America,0.54,6638075
Niger,19.93583485,59.5,590.6294814,..,2070,Africa,0.29,24346468
Nigeria,234.3086872,70.6,2065.749068,..,112920,Africa,0.54,206984347
North Macedonia,81.88310864,4.6,6694.641126,15.78,7860,Europe,0,2083359
Northern Mariana Islands,107.5673913,..,..,..,..,Europe,1.57,57619
Norway,14.84700909,1.8,90655.39102,4.37,36900,Europe,0,5428594
